timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/06/11 04:55:16.616, 0, 77.51 W, 37, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:16.647, 1, 76.54 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:16.649, 2, 77.62 W, 37, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:16.652, 3, 75.18 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:16.655, 4, 77.92 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:16.657, 5, 77.37 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:16.660, 6, 77.42 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:16.663, 7, 77.11 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:17.665, 0, 77.46 W, 37, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:17.665, 1, 76.52 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:17.665, 2, 77.75 W, 37, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:17.665, 3, 75.19 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:17.665, 4, 77.96 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:17.665, 5, 77.29 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:17.665, 6, 77.36 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:17.665, 7, 77.05 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:18.665, 0, 77.33 W, 37, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:18.665, 1, 76.55 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:18.665, 2, 77.51 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:18.665, 3, 75.16 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:18.665, 4, 77.90 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:18.665, 5, 77.27 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:18.666, 6, 77.35 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:18.666, 7, 77.00 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:19.666, 0, 77.27 W, 37, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:19.666, 1, 76.49 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:19.666, 2, 77.67 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:19.666, 3, 75.10 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:19.666, 4, 77.80 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:19.666, 5, 77.30 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:19.666, 6, 77.54 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:19.666, 7, 77.00 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:20.666, 0, 77.21 W, 37, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:20.666, 1, 76.45 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:20.666, 2, 77.42 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:20.666, 3, 75.07 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:20.666, 4, 77.79 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:20.666, 5, 77.26 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:20.666, 6, 77.42 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:20.666, 7, 77.02 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:21.666, 0, 77.22 W, 37, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:21.666, 1, 76.42 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:21.666, 2, 77.55 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:21.666, 3, 75.06 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:21.666, 4, 77.78 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:21.666, 5, 77.21 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:21.666, 6, 77.46 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:21.666, 7, 77.00 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:22.666, 0, 77.22 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:22.666, 1, 76.40 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:22.666, 2, 77.39 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:22.666, 3, 75.09 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:22.666, 4, 77.71 W, 35, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:22.666, 5, 77.27 W, 31, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:22.666, 6, 77.44 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:22.666, 7, 76.96 W, 32, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:23.667, 0, 77.12 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:23.667, 1, 76.39 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/11 04:55:23.667, 2, 77.45 W, 36, 345 MHz, 3201 MHz, 0 %, 0 %
