timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/06/10 19:52:06.172, 0, 76.14 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:06.231, 1, 75.74 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:06.233, 2, 76.66 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:06.236, 3, 74.96 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:06.239, 4, 76.54 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:06.244, 5, 76.65 W, 28, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:06.247, 6, 75.75 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:06.251, 7, 76.18 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:07.253, 0, 76.11 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:07.253, 1, 75.74 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:07.253, 2, 76.94 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:07.253, 3, 74.93 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:07.253, 4, 76.52 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:07.253, 5, 76.69 W, 28, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:07.253, 6, 75.75 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:07.253, 7, 76.12 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:08.254, 0, 76.11 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:08.254, 1, 75.65 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:08.254, 2, 76.80 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:08.254, 3, 75.01 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:08.254, 4, 76.47 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:08.254, 5, 76.67 W, 28, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:08.254, 6, 75.74 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:08.254, 7, 76.15 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:09.254, 0, 76.07 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:09.254, 1, 75.70 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:09.254, 2, 76.72 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:09.254, 3, 74.99 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:09.254, 4, 76.55 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:09.254, 5, 76.74 W, 28, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:09.254, 6, 75.68 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:09.254, 7, 76.17 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:10.254, 0, 76.12 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:10.254, 1, 75.65 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:10.254, 2, 76.89 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:10.254, 3, 74.97 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:10.254, 4, 76.49 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:10.254, 5, 76.72 W, 28, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:10.254, 6, 75.74 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:10.254, 7, 76.11 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:11.254, 0, 76.10 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:11.254, 1, 75.71 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:11.254, 2, 76.79 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:11.254, 3, 74.99 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:11.254, 4, 76.50 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:11.254, 5, 76.71 W, 28, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:11.254, 6, 75.74 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:11.254, 7, 76.11 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:12.254, 0, 76.14 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:12.255, 1, 75.68 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:12.255, 2, 76.76 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:12.255, 3, 74.98 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:12.255, 4, 76.58 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:12.255, 5, 76.70 W, 28, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:12.255, 6, 75.75 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:12.255, 7, 76.16 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:13.255, 0, 76.14 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:13.255, 1, 75.74 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:13.255, 2, 76.88 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:13.255, 3, 75.02 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:13.255, 4, 76.53 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:13.255, 5, 76.70 W, 28, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:13.255, 6, 75.78 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:13.255, 7, 76.16 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:14.255, 0, 76.12 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:14.255, 1, 75.69 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:14.255, 2, 76.64 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:14.255, 3, 74.99 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:14.255, 4, 76.53 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:14.255, 5, 76.71 W, 28, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:14.255, 6, 75.74 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:14.255, 7, 76.13 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:15.255, 0, 76.09 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:15.255, 1, 75.66 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:15.255, 2, 76.83 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:15.255, 3, 74.99 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:15.255, 4, 76.57 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:15.255, 5, 76.67 W, 28, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:15.256, 6, 75.71 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:15.256, 7, 76.05 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:16.256, 0, 76.11 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:16.256, 1, 75.71 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:16.256, 2, 76.89 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:16.256, 3, 74.99 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:16.256, 4, 76.45 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:16.256, 5, 76.76 W, 28, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:16.256, 6, 75.75 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:16.256, 7, 76.11 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:17.256, 0, 76.16 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:17.256, 1, 75.71 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:17.256, 2, 76.64 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:17.256, 3, 74.96 W, 27, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:17.256, 4, 76.52 W, 30, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:17.256, 5, 76.76 W, 28, 345 MHz, 3201 MHz, 0 %, 0 %
2026/06/10 19:52:17.256, 6, 75.70 W, 29, 345 MHz, 3201 MHz, 0 %, 0 %
